caption,country,dimensions,full_name,image_url,likes,location,tagged_account,timestamp,user
"🔥 Under Armour Spine Disrupt.
📐 Размеры: 41 - 44.
💵 Цена: 1500 грн 
🔤 Артикул: C-2771

- Верх выполнен полностью из приятной кожи.
- Внутри текстильная подкладка с упругой стелькой.
- Подошва из пеноматериала с износостойким резиновым протектором.
- Качество копии: AAА класс.
- Производство: Вьетнам.

Пишем в Директ 💬

#underarmour#кроссовкимужскиеукраина#топкачество#фитнес#длябега#одеждамужская",UA,"{'height': 1080, 'width': 1080}",МУЖСКИЕ КРОССОВКИ | УКРАИНА 🇺🇦,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/158433895_302338284644348_2665120749642504570_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=uFfLFADGy_8AX-9wZro&oh=d60033d628a74ba75e8e7d6e394a4d2c&oe=60708206,0,"{'street_address': '', 'zip_code': '', 'city_name': '', 'region_name': '', 'country_code': 'UA', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': True}",[],2021-03-09 11:51:16,timbarlend_shop_ua
"Du bist niemals zu alt, um dir ein anderes Ziel zu setzen oder einen neuen Traum zu träumen
.
You are never too old to set another goal or dream a new dream
. 
Werbung 
🏃‍♂️ @carsten_burgi 
👕 @underarmour 
👖 @underarmour 
_________⬇️ Follow the squad :⬇️
@therock 
@projectrock
@underarmour 
@underarmourdach 
@underarmouruk 
@projectrock
@uasportstyle
@underarmoursg
@underarmour_de
@underarmourlatam 
@projectrockdach
@project._rock 
#ü40#fitness#instagram#fitnessjunkie#fitnessmotivation #fitnessjourney#selfie #lifestyle#bodybuilding #blogger #model #menstyle#fitnesslifestyle#healthylifestyle #fitlife#motivation#fitnessmodel #bodybuilder#trend 
#underarmour#fashion #fashionblogger #styleblogger #bloggerstyle  #cool#follower4follower #followers #followersinstagram #carsten_burgi",CH,"{'height': 1350, 'width': 1080}",Carsten Burgi,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/158791361_810683986191868_1249382013295208253_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=1pQox-FJoLQAX-yc2iE&oh=4f1723ea4225720e52e7d337f34bf25f&oe=6071D240,117,"{'street_address': '', 'zip_code': '', 'city_name': '', 'region_name': '', 'country_code': 'CH', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': True}","['underarmour', 'gymmemesofficial', 'pumping.sophia.thiel', 'underarmourlatam', 'bodybuilding_motivation', 'bodybuilding', 'underarmoursoutheastasia', 'underarmourbrasil', 'bodybuiiding', 'underarmourau', 'underarmourca', 'underarmourme', 'bodytransformations.shoutout', 'underarmoursg', 'carlocolucciofficial', 'carlocoluccinl', 'swiss_bodybuilding_motivation']",2021-03-09 11:51:05,carsten_burgi
#handstandpractice #handstand #upsidedown #gymnastics #athlete #dailypractice #drill #shirtlessguys #underarmour #gshock,,"{'height': 995, 'width': 640}",Zak Dominik,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158513201_188163693079810_5038655678701631350_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=zog1WB4f9N4AX8Dm8Ma&oh=aa506226ad2d937922d3798bcf06ce09&oe=604B1F9E,4,,[],2021-03-09 11:50:52,_emesko_
"🛍YENİ SEZON MONCLER TİŞÖRT 

💰Fiyat: 79₺

🚚KAPIDA ÖDEME ŞEFFAF KARGO

🕴🏻Bütün bedenler mevcuttur

☎️İletişim Wp: 0534 243 72 33

🏪Mağaza satışlarımızda %10 İndrim fırsatı❗️

#Kasaba.fashion#erkekgiyim#slimfit#sporgiyim#kot#mont#tarzgiyim#erkekkombin#sweat#sewatshirt#mont#skınnyfit#gömlek#eşofman#ceket#kombin#underarmour#adidas#keşfet#eşofmantakım#tişört#uzuntişört#keşfet#keşfetteyiz",TR,"{'height': 1350, 'width': 1080}",KASABA FASHİON,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/158050653_2926173041037273_1689949767352296354_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=ql6F5F494t4AX-Y1M9h&oh=4c45b6dc8949f34c3ec6b83433809e8f&oe=6071F104,13,"{'street_address': '', 'zip_code': '34212', 'city_name': 'Istanbul, Turkey', 'region_name': '', 'country_code': 'TR', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}",[],2021-03-09 11:50:41,kasaba.fashion
"🛍YENİ SEZON SİYAH KADİFE YELEK

💰Fiyat: 160

🚚KAPIDA ÖDEME ŞEFFAF KARGO

🕴🏻Bütün bedenler mevcuttur

☎️İletişim Wp: 0534 243 72 33

🏪Mağaza satışlarımızda %10 İndrim fırsatı❗️

#Kasaba.fashion#erkekgiyim#slimfit#sporgiyim#kot#mont#tarzgiyim#erkekkombin#sweat#sewatshirt#mont#skınnyfit#gömlek#eşofman#ceket#kombin#underarmour#adidas#keşfet#eşofmantakım#tişört#uzuntişört#keşfet#keşfetteyiz",TR,"{'height': 1350, 'width': 1080}",KASABA FASHİON,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/157514990_1305970789853994_2217831533821558211_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=BlPe4rnTVTQAX_qpO9y&oh=083d24e6369c7e9335dbe6b75b986cc1&oe=6071CBCE,13,"{'street_address': '', 'zip_code': '34212', 'city_name': 'Istanbul, Turkey', 'region_name': '', 'country_code': 'TR', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}",[],2021-03-09 11:50:07,kasaba.fashion
"Dior Full  quality

#lacoste #tommy #polo #uspoloassn #dolcegabbana #louisvuttion #gucci #versaci #hypershipping #shipping #shoppingonline #online #hermes #phillipplein #zara #zarawoman #dior #rolex #adidas #nike #paulsharkofficial #thenorthface #colombia #likeforlikes #underarmour #apple #avva  #Skechers #Love #Shopnow",,"{'height': 1023, 'width': 1080}",Hyper Brand Shipping,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/158073937_881716059070722_3138977677100293125_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=SDOCNskHf5UAX99e9GL&oh=22f9ccdd2230d78b04cfe35ce6ea57c8&oe=6072E975,2,,[],2021-03-09 11:49:56,hyper__brand
"🛍YENİ SEZON BEJ TİŞÖRT PETEK KUMAŞ

💰Fiyat: 49₺

🚚KAPIDA ÖDEME ŞEFFAF KARGO

🕴🏻Bütün bedenler mevcuttur

☎️İletişim Wp: 0534 243 72 33

🏪Mağaza satışlarımızda %10 İndrim fırsatı❗️

#Kasaba.fashion#erkekgiyim#slimfit#sporgiyim#kot#mont#tarzgiyim#erkekkombin#sweat#sewatshirt#mont#skınnyfit#gömlek#eşofman#ceket#kombin#underarmour#adidas#keşfet#eşofmantakım#tişört#uzuntişört#keşfet#keşfetteyiz",TR,"{'height': 1350, 'width': 1080}",KASABA FASHİON,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/159108454_286594562984277_5619061861600647870_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=WV5nwVEqd8EAX-MkXyP&oh=25b79ded8b2a3f4125db6e9d8c09cf6b&oe=6074060A,13,"{'street_address': '', 'zip_code': '34212', 'city_name': 'Istanbul, Turkey', 'region_name': '', 'country_code': 'TR', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}",[],2021-03-09 11:49:34,kasaba.fashion
"#skateboarding #skate #skateboard #skatelife #sk #skateboardingisfun #skater #skateordie #skatepark #skateshop #skateanddestroy #skateeverydamnday #skateboards #skateboarder #thankyouskateboarding #skating #thrasher  #life #skatecrunch #streetwear #art #skategram #surfing #underarmour #surf
#downtown #windsor #windsorontario #blisssk8shop",,"{'height': 1080, 'width': 1080}",Jaki Curtis,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158149895_2860868550899341_4260243754453642891_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=tYj4J8cC68UAX92nVQ3&oh=22dfacd42476284c60a1d078b36b7bb9&oe=607257A5,14,,[],2021-03-09 11:48:20,missmarie_xx
"Deadlift progress...

Jan 20, 2021 375x3 Back breaker

Mar 6, 2021 375x2 Smooth double

Grinding towards 405+ 😤

#fitness #fitnessmotivation #bodybuilding #powerbuilding #powerlifting #gains #progressnotperfection #progress #deadlift #sumodeadlift #strengthtraining #candito6week #roadto405deadlift #glutes #hamstrings #gym #gymshark #underarmour #alphalete #lafitnessbrandon #lafitness #grind",US,"{'height': 600, 'width': 480}",Peter Adams,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158241884_1158811071243298_7060552865576753875_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=zU7mvE827ToAX8Lh9ub&oh=6f6ccf211aa2b0719a2cb3f68ae78529&oe=604B307B,33,"{'street_address': '2890 Providence Lakes Blvd', 'zip_code': '33511', 'city_name': 'Brandon, Florida', 'region_name': '', 'country_code': 'US', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}",[],2021-03-09 11:48:09,peter_adams1996
"▵
#hiking #hikingswitzerland #underarmour #creuxduvan #switzerland",,"{'height': 1080, 'width': 1080}",𝐀𝐥𝐞𝐱𝐱𝐚𝐧𝐝𝐫𝐚 𝐒𝐭𝐮𝐝𝐞𝐫,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/101023164_933377053753642_5020638993664055114_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=RgcIHhMK1ZkAX-R8bEU&oh=7d99f031699a39527bb917c2f86b5c35&oe=60725779,114,"{'street_address': '', 'zip_code': '', 'city_name': '', 'region_name': '', 'country_code': '', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}",['underarmour'],2020-05-29 16:16:11,arsvitae__
"Words prove who people wanna be. Actions prove who someone is.
•
#motivation #goinguponatuesday #motivated #begreat #grateful #underdog #work #workout #workoutmotivation #routine #underarmour #ybncordae #meekmill #inspiration #trainhard #training #everyday #legday",,"{'height': 750, 'width': 750}",Brandon “B Batts” Batts,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158391133_2546548722315555_2390174536990716842_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=_WRwGTpT0TsAX_RUKEs&oh=b9c4b320db465780d6dd2eb481fe0320&oe=604AF34E,39,,[],2021-03-09 11:47:42,b.dolofitness
"Back in the game! Weekly run 🏃‍♂️ 8k ran in 36 minutes, keep your eyes open because ill be doing running for children with cancer again after lockdown as there my chosen charity 
.
.
.
.
.
.
#picoftheday #pictureoftheday #alt #alternative #alternativefashion #siksilk #underarmour #run #running #keepfit #ladwithtattoos #inkedup #inkedmen #inked #tattooed #tattooedguy #tattooedmen #handtattoos #wirral #crosscountry",,"{'height': 1080, 'width': 1080}",𝔖𝔠𝔬𝔱𝔱 𝔔𝔲𝔦𝔠𝔨,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/158145963_755994511957809_2492526108753735558_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=3V9oWUMC9l8AX-MPp1S&oh=db69a28964c8c5c876e384d4d81eae38&oe=60722E1F,95,,[],2021-03-09 11:47:22,quickscott
"Haven’t shot with model @maureenamber for quite some time, but I’d like to

#model #marylandmodel #modelshoot #underarmour #canon",,"{'height': 1350, 'width': 1080}",Geoff Lawrence,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/157427289_273981640920305_1573122496558420019_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=NPmszSS-XvAAX_UYTkA&oh=b1f821b2d76f8988a2b4229e81f4fe71&oe=607422D3,71,,"['underarmour', 'glamour.models__', 'maureenamber']",2021-03-09 11:47:01,glawrencephotography
WOMEN'S TAC JOB FLEECE 3.0 UNDER ARMOUR #underarmour #rtmsuppliesstore #shippingavailable📦📪,,"{'height': 1349, 'width': 1080}",RtmSuppliesStore,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/158157670_897401130826798_8515410402435144628_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=c7TsF-8BfGcAX_oJLOS&oh=09b974ff1fe6f783956fb21f488e56ba&oe=60742294,2,,[],2021-03-09 11:46:25,rtmsuppliesstore
"Optez pour la CARINA MID de chez PUMA pour un look casuel 😊

Prix : 8800 da 🏷

Pointure : 28 | 34

#mastersport #algerie #sneakers #original  #nike #puma #Underarmour",,"{'height': 1080, 'width': 1080}",master sport,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158715880_349579016285433_3158316698741966405_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=L9c-_dBkrb8AX_kbcQZ&oh=9b4bbb78a6c4261f583332b131a6336d&oe=60734ADF,0,,[],2021-03-09 11:46:23,master.sportdz
"⛹🏾‍♂️⛹🏽‍♂️⛹🏻‍♂️⛹🏼‍♂️⛹️‍♂️
⛹🏿‍♀️⛹🏾‍♀️⛹🏼‍♀️⛹🏻‍♀️⛹️‍♀️
🏀🏀🏀🏀🏀
✈️ Envíos en Colombia 🇨🇴 🚚
Disponibles entrega Inmediata en Bogotá 🙀
👟  Varios Modelos - Varios Precios 👟
Varias Tallas - Varios Centímetros
💵 Últimos Pares Pesos Colombianos
☎️ WhatsApp 3057048442 📞
#Basketball 
#Baloncesto 
#Nike 
#Jordan 
#Converse
#CrossoverCulture
#NewBalance 
#UnderArmour
#Adidas
#Puma
#And1
#McDavid 
#Zamst 
#Lebron 
#Kobe 
#KD
#Kyrie 
#PG 
#Giannis 
#Antetokounmpo
#Harden 
#Dame
#Kawhi
#Curry
#Rose 
#Bogota 
#Fecolcesto 
#NBA 
#Harden5 
#Kyrie7",,"{'height': 1333, 'width': 750}",Rodolfo Parrado,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158933392_732278877678513_3561734227797492586_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=NNamlmIT3aEAX82aFTi&oh=89ee596cdcb9b0173190bc7fb728b82b&oe=604B6276,18,,[],2021-03-09 11:45:17,clutch_shoes_basketball
"💥Link in my bio💥
www.gymratfitnessllc.com 
💪🏾🏋🏾‍♂️🤘🏾#GYMRATFITNESS  #IRONADDICT4LIFE #ISYMFS #MOTIVATOR  #PROGRESS  #DONTQUIT #STAYHEALTHY #LIVELIFE #DMV #MVM #PUTINWORK #FITNESS #EXERCISE  #BEPOSITIVE #DONTHATE #KEEPIT100  #UNDERARMOUR #GYMLIVIN4LIFE #FOCUS #TRAIN #GYMTIME
#GETSHITDONE #EATHEALTHY
#BODYBUILDING  #PROTEIN #GAINZ #TRUSTYAPROCESS #SELFSTARTER #BUSINESSOWNER
#SOULNATION",,"{'height': 422, 'width': 750}",GYMRAT8831/GYMRAT FITNESS LLC,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158576512_279718487048851_7145071476489959687_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=4Rxqf2yguOMAX-RL2xJ&oh=97a1d4bddf901a3631921ca3a24f253a&oe=604B24F3,15,,[],2021-03-09 11:44:49,gymrat8831
"Gli addominali si fanno a tavola.. Nn v'ammazzate ogni giorno di esercizi per gli addominali.. Una o due volte a settimana ma come se nn ci fosse un domani.. 😎

#core #strong #abs #train #military #work #againandagain #workout #training #brain #muscles #lifestyle #underarmour #salomon #gshock #dontstop #dontquit",,"{'height': 1080, 'width': 1080}",𝐋𝐔𝐂𝐈𝐀𝐍𝐎,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/159839488_895987117824482_8140472915520004103_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=68w-1IupHB0AX_zAm79&oh=5f84a1f6aa9f8a1bd5a83a55e2617928&oe=607357FE,13,,[],2021-03-09 11:44:19,lucianodaprile
"Stop 🛑 running away from your pain and embrace your pain. Pain is temporary. It may last for a min, an hour, a day or even a year. Embrace it! Face it and beat it down 
#fitnessmotivation #gymmotivation #gymrat #gyminspiration #gymnist #gymnigeria #embraceyourpain #staystrong #bepositive #nike #underarmour #underarmor #rebook #muscletech #goldstandard #goldstandardwhey #celltech #addidas #wheyprotein #tbar #tbarrows",,"{'height': 937, 'width': 750}",FitMike,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158780535_731909444179795_4832121106818611986_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=7Z_GcqflqGQAX-XN09K&oh=6752c30dee7c89eca76840586f66d1c9&oe=604B2D96,87,,[],2021-03-09 11:44:19,fitmike_
"#underarmour 
#ruthprendas 
📲consulta al 
https://linktr.ee/ruthcalzados
•Delivery 🛵 sin costo Asunción y Gran Asunción ‼️
•Envíos a todo el País 🇵🇾",,"{'height': 1080, 'width': 1080}",RUTH Calzados,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/158447737_890425975079479_5264615447234827714_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=okcUUhpocUIAX8SnWt1&oh=3ed9e3bfa4ae320afdf280db33e389dd&oe=6070ABC0,0,,[],2021-03-09 11:44:03,ruth_calzadospy
"On retrouve une séance Dos 🏋️‍♂️💪 pour ce mardi après-midi ! Training court mais efficace vu le temps que je peux lui consacrer !👍😉
#body #bodyweighttraining #bodybuilding #musculation #muscu #workoutathome #fitnessworld #lifestyle #gym #gymshark #gymlife #gymtime #gymmotivation #gymworkout #fitmotivation #fitnessaddict #fitness #fitfam #fit #fitness #fitnessmotivation #gymaddict #nopainnogain #underarmour #tattoo #ink #inked #workoutmotivation #workout #bodytransformation #bodybuilder",,"{'height': 1080, 'width': 1080}",Thierry De La Roche,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/158199023_458303128820329_4672002977047753178_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=gcEjYWmX-QIAX-76ubC&oh=d0fdcb9b52b4912cf547d7f09e4df7bf&oe=607242C2,28,,[],2021-03-09 11:43:51,thierrydelaroche
"😢😢

#herewego #juju #tiktok #nfl #nflplayoffs #god #afcnorth #afc #afceast #afcsouth #afcwest #nfc #nfceast #nfcwest #nfcnorth #nfcsouth #nflphotography #nike #underarmour #viral #steelers #steelersnation #pittsburghsteelers #pittsburgh #city #dog #motivation #youtube #instagood",,"{'height': 662, 'width': 1080}",Steelers_fans_4_life,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158072439_201697921561136_4092008444452105134_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=JrzSGYE_jMUAX9iXsU_&oh=140fcf095dba75f9941e38163504430f&oe=60735184,20,,[],2021-03-09 11:43:23,steelers_fans_4_life
2017 @paniniamerica Flawless 1/5 @tombrady autograph #TB12autographs #TomBrady #TB12 #whodoyoucollect #tb12sports #goat #christophercloos #massachusetts #michigan #florida #california #astonmartin #bestbuddies #newengland #newenglandpatriots #boston #tampa #tampabay #tampabaybuccaneers #underarmour #paniniamerica #panini,,"{'height': 1349, 'width': 1080}",TB12Autographs,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/158368479_281417696714222_2977977595348110372_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=d7uPaS-CuUoAX9-jOKV&oh=1f20f356617959bb199e2afc7c06351c&oe=6073D494,126,,"['astonmartinlagonda', 'tombrady', 'underarmour', 'patriots', 'buccaneers', 'ebay', 'tb12sports', 'umichfootball', 'paniniamerica', 'bestbuddies', 'christophercloos', 'ag_tb12', 'pwccmarketplace', 'checkoutmycards', 'kengoldin', 'tb12foundation']",2021-03-09 11:43:06,tb12autographs
"3126638556

☑️ 💥CALZADO IMPORTADO 🔥🥇💣
☑️💥PARA DAMA 👸
☑️💥PARA CABALLERO 🤴

☑️ Tienda física @GRANCENTROCOMERCIAL 
☑️ Ventas al por mayor y al detal 👟
☑️ Envíos a todo destino ✈️🏍️🚗
☑️ Contáctanos al 📲 3126638556
☑️ cali- valle 🇦🇲

PAGO 
TRANFERENCIAS BANCOLOMBIA 💸💳
EFECTY 💰💴
DAVIPLATA 💰💳💸
SUPERGIROS 💰💵

Emprende con nosotros 
Te enviamos nuestro catálogo 📸

#tenis #tenisdehombre #tenisdeportivos #tenisruning #tenistendencia #teniscasual #cali #medellin #cartagenadeindias #putumayo 
#bogota #calzado #deporte #tenisdemarca #nike #adidas #underarmour  #puma",,"{'height': 983, 'width': 1080}",shoes_dailyshoes10,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/158175112_272023947667040_5192898392982635117_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=5IqJos_P1MgAX8Uk-Xk&oh=74f2d3b615cd1702f862a3e72b571445&oe=6071EA3F,4,,[],2021-03-09 11:41:56,mercury.run
Underarmour WOMEN'S UA FREEDOM EAGLE T-SHIRT UNDER ARMOUR #underarmour #womens #shirts #green #eagle #usa #worldwideshipping📦✈️,,"{'height': 1350, 'width': 1080}",RtmSuppliesStore,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/159582125_1136804483502816_167512249150262296_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=ir-19X3aBgkAX-zrQVY&oh=a37442f3f3e1d48a4a587e6f87f0759b&oe=6070B90C,7,,[],2021-03-09 11:41:53,rtmsuppliesstore
"Such a clean color, that I had to pick up the entire line up😍 #underarmour #underarmourbaseball #ua #iwill",,"{'height': 810, 'width': 1080}",Trevor Carter,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/158792866_104412004991790_1475916498762920663_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=wgiZlisMlfUAX9KyhcH&oh=909beb190515811cbbc8a400d1fa92d5&oe=60717634,77,,[],2021-03-09 11:41:19,208gloves
"More New UA in Today! 
Lots of Size Ranges!!
#boys #underarmour #sets",US,"{'height': 1350, 'width': 1080}",Holly Houck,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/158621910_1626717140862372_619130788594340906_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=6Ln_2RxtZmQAX91x1aW&oh=e535971cfacb4efc90ebcbf062bf48e4&oe=6072FD98,2,"{'street_address': '132 E Main St', 'zip_code': '41143', 'city_name': 'Grayson, Kentucky', 'region_name': '', 'country_code': 'US', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}",[],2021-03-09 11:41:13,ruperts_grayson_ky
"3126638556

☑️ 💥CALZADO IMPORTADO 🔥🥇💣
☑️💥PARA DAMA 👸
☑️💥PARA CABALLERO 🤴

☑️ Tienda física @GRANCENTROCOMERCIAL 
☑️ Ventas al por mayor y al detal 👟
☑️ Envíos a todo destino ✈️🏍️🚗
☑️ Contáctanos al 📲 3126638556
☑️ cali- valle 🇦🇲

PAGO 
TRANFERENCIAS BANCOLOMBIA 💸💳
EFECTY 💰💴
DAVIPLATA 💰💳💸
SUPERGIROS 💰💵

Emprende con nosotros 
Te enviamos nuestro catálogo 📸

#tenis #tenisdehombre #tenisdeportivos #tenisruning #tenistendencia #teniscasual #cali #medellin #cartagenadeindias #putumayo 
#bogota #calzado #deporte #tenisdemarca #nike #adidas #underarmour  #puma",,"{'height': 1236, 'width': 1080}",shoes_dailyshoes10,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/159148036_265464281813133_4177410805695270514_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=nsSlQNJuGy4AX8I6cVq&oh=5d3df75cd45bba75d73b8ca7e5fb8350&oe=607227D5,6,,[],2021-03-09 11:38:29,mercury.run
"เทศกาลหนัง 2005
ไม่ขาด ไม่ข้าง ไม่รู
สภาพใหม่
Size L ( 21”29”)
Price 350 บาท รวมส่ง
ค่าส่ง free J&T 📬📬
รับพิมรับ
.
.
. #ขายเสื้อวินเทจ #เสื้อวง #การ์ตูน #ผ้าบาง #หนัง
#งานเก่า90s80s #Nike #VANS #ADIDAS #JORDAN
#UNDERARMOUR #งานชุด #แบรนด์ #กีฬา #สเก็ต #อื่นๆอีกมากมาย",,"{'height': 1080, 'width': 1080}",ป.ต.ม. เก้าสองหก,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/158378813_1351805361854553_8706097654588019840_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=kqU7bMtWV9AAX9BrzU9&oh=a299447f244fc366187f8a9486628580&oe=6071524E,6,,[],2021-03-09 11:37:56,ekaasnghk
"✅АНОНС
------------------------------------------------------
За додатковою інформацією 👉@the_dandyshop
------------------------------------------------------
✅ Солодкі ціни🤑
✅ Доставка Новою поштою та Укрпоштою 🚚
✅ Речі світових брендів 🐊
✅ Індивідуальний підхід до кожного з вас 😎
------------------------------------------------------
#topman #puma #hm #newbalance #prada #gucci #ysl #nike #adidas #underarmour #asos #americaneagle #ralphlauren #asics #boohooman #macron #newlook #patagonia #kenzo #burberry #barbour #yvessaintlaurent #ellesse #kappa #champion #givenchy",UA,"{'height': 1080, 'width': 1080}",THE DANDY SHOP 😎,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/158151519_441139820540351_5827077855744627728_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=BA7l7TKDjlcAX-oORGo&oh=9b0546b2716bdaebbd8e9a54de3104b3&oe=6073D2CE,10,"{'street_address': 'Украина', 'zip_code': '', 'city_name': 'Kyiv, Ukraine', 'region_name': '', 'country_code': 'UA', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}",[],2021-03-09 11:35:59,the_dandyshop
